#{"t_start": 1766914283.692569, "env_id": "None"}
r,l,t
7.110647,3,0.636277
-20.0,1,0.63631
-20.0,1,0.636753
-19.8,3,0.636859
-19.9,2,0.637376
-20.0,1,0.637417
-20.0,1,0.637447
-20.0,1,0.637932
-20.0,1,0.63797
-20.0,1,0.638001
-20.0,1,0.638031
-20.0,1,0.638535
-20.0,1,0.638571
7.865677,3,0.639078
-20.0,1,0.639112
-20.0,1,0.639163
-20.0,1,0.639191
-20.0,1,0.639641
7.152973,3,0.63978
-20.0,1,0.640224
-20.0,1,0.640259
-20.0,1,0.640288
-20.0,1,0.640315
-20.0,1,0.640771
-20.0,1,0.640807
7.106526,3,0.641295
6.662109,3,0.641371
-19.9,2,0.641887
-20.0,1,0.641918
-20.0,1,0.641946
-19.9,2,0.642387
-20.0,1,0.642441
-20.0,1,0.642474
-20.0,1,0.642896
-20.0,1,0.64293
-20.0,1,0.642979
-20.0,1,0.643011
-20.0,1,0.643438
-19.8,3,0.643511
-20.0,1,0.643952
6.8806,3,0.644094
-20.0,1,0.644546
-20.0,1,0.64458
-20.0,1,0.644636
-20.0,1,0.644668
-20.0,1,0.645099
-20.0,1,0.645136
-20.0,1,0.645188
-20.0,1,0.645219
-20.0,1,0.64564
6.955939,3,0.645782
-19.8,3,0.646278
6.878967,3,0.648654
-20.0,1,0.64873
7.002531,3,0.649329
-20.0,1,0.649385
7.069127,3,0.649923
6.9263,3,0.650417
-20.0,1,0.650455
-20.0,1,0.650508
-20.0,1,0.650539
-20.0,1,0.650948
-20.0,1,0.650985
-20.0,1,0.651038
-19.8,3,0.651507
-20.0,1,0.651539
6.997011,3,0.652116
-20.0,1,0.652174
7.177053,3,0.652643
6.215483,3,0.653132
-20.0,1,0.653171
-20.0,1,0.653225
-20.0,1,0.653256
-20.0,1,0.653669
-20.0,1,0.653805
-20.0,1,0.653867
-19.8,3,0.654345
-20.0,1,0.654404
-20.0,1,0.65444
-20.0,1,0.65504
-20.0,1,0.655079
-20.0,1,0.655119
-20.0,1,0.655155
-20.0,1,0.655634
-20.0,1,0.655681
-20.0,1,0.655716
-20.0,1,0.655747
8.932215,3,0.656282
-20.0,1,0.656313
-19.9,2,0.656847
6.435575,3,0.657312
-20.0,1,0.657372
5.912703,3,0.657885
6.896694,3,0.658016
-20.0,1,0.658443
-20.0,1,0.658497
6.964913,3,0.658968
-20.0,1,0.659
6.361193,3,0.659518
-20.0,1,0.659572
-20.0,1,0.6596
7.195163,3,0.660128
-20.0,1,0.660163
-20.0,1,0.660215
-20.0,1,0.660629
-20.0,1,0.660665
-20.0,1,0.660694
-20.0,1,0.660743
-20.0,1,0.661172
-20.0,1,0.661209
-20.0,1,0.661239
-20.0,1,0.661289
-20.0,1,0.661731
-20.0,1,0.661764
7.259689,3,0.662299
-19.9,2,0.662431
5.552675,3,0.662881
-20.0,1,0.662912
-20.0,1,0.662939
-20.0,1,0.663374
5.908049,3,0.663452
-20.0,1,0.663886
-20.0,1,0.663929
-20.0,1,0.66398
-20.0,1,0.664007
-20.0,1,0.664435
-20.0,1,0.664468
6.928839,3,0.664958
-20.0,1,0.664994
-20.0,1,0.665022
-20.0,1,0.66505
-0.65745,3,0.665549
5.961576,3,0.666034
-20.0,1,0.666067
-20.0,1,0.666095
-20.0,1,0.66652
-20.0,1,0.666555
-20.0,1,0.666582
6.073416,3,0.667097
-20.0,1,0.667148
-19.9,2,0.667591
-20.0,1,0.667627
-20.0,1,0.667659
6.929292,3,0.668217
5.913427,3,0.668679
6.941798,3,0.668759
-20.0,1,0.669174
-20.0,1,0.669226
6.959779,3,0.669746
-19.9,2,0.669864
-20.0,1,0.669895
-20.0,1,0.670346
-20.0,1,0.670394
-20.0,1,0.670504
7.109074,3,0.670969
7.055038,3,0.671644
-20.0,1,0.671693
-20.0,1,0.671721
-20.0,1,0.671747
-19.8,3,0.672249
6.020053,3,0.67275
-20.0,1,0.672782
6.016317,3,0.673291
-20.0,1,0.673349
-20.0,1,0.673388
7.004778,3,0.673966
-20.0,1,0.674006
-20.0,1,0.674448
-20.0,1,0.674493
-20.0,1,0.674524
-20.0,1,0.674553
-20.0,1,0.675013
-20.0,1,0.675046
7.037278,3,0.675512
-20.0,1,0.675546
-20.0,1,0.675594
-20.0,1,0.675622
-20.0,1,0.67604
6.913766,3,0.67612
-20.0,1,0.676559
-20.0,1,0.676593
-20.0,1,0.676621
-20.0,1,0.676647
-20.0,1,0.677095
-19.9,2,0.67715
-20.0,1,0.677179
-20.0,1,0.677594
-20.0,1,0.677648
-20.0,1,0.677676
-20.0,1,0.677704
-20.0,1,0.678123
7.26082,3,0.678231
-19.8,3,0.678707
7.082904,3,0.679223
-20.0,1,0.679262
-20.0,1,0.67931
-20.0,1,0.679729
6.992338,3,0.679871
6.884263,3,0.680358
-20.0,1,0.680412
-20.0,1,0.680852
-20.0,1,0.680886
-20.0,1,0.680917
-20.0,1,0.68097
6.886813,3,0.681467
6.928007,3,0.681994
-20.0,1,0.682026
1.207523,3,0.682547
-20.0,1,0.68258
-20.0,1,0.682608
-1.384792,3,0.683127
6.959304,3,0.683628
-19.8,3,0.684202
6.17027,3,0.684423
1.357966,3,0.684959
-20.0,1,0.685014
-19.9,2,0.685505
-20.0,1,0.685534
-20.0,1,0.685563
-20.0,1,0.686005
-20.0,1,0.686043
-20.0,1,0.686073
-20.0,1,0.686103
-20.0,1,0.686545
-20.0,1,0.686577
-20.0,1,0.686604
-20.0,1,0.686629
-20.0,1,0.687177
-20.0,1,0.687214
-20.0,1,0.687245
-20.0,1,0.687274
-20.0,1,0.687794
-20.0,1,0.687887
-20.0,1,0.687925
-20.0,1,0.687955
-20.0,1,0.688422
6.014593,3,0.688515
-20.0,1,0.688948
